time [s], x [m], y [m], z[m], E [MeV], px [MeV], py [MeV], pz [MeV]
1.43E-10,-4.4978663E-4,-8.814531E-5,0.021993669,1063.2245764653862,-37.55685,-32.447243,498.1357
1.44E-10,-4.603837E-4,-9.730064E-5,0.022134224,1063.2245764653862,-37.55685,-32.447243,498.1357
1.45E-10,-4.7098074E-4,-1.0645597E-4,0.022274777,1063.2245764653862,-37.55685,-32.447243,498.1357
1.46E-10,-4.815778E-4,-1.156113E-4,0.022415332,1063.2245764653862,-37.55685,-32.447243,498.1357
1.47E-10,-4.921749E-4,-1.2476664E-4,0.022555886,1063.2245764653862,-37.55685,-32.447243,498.1357
1.48E-10,-5.0277193E-4,-1.3392196E-4,0.02269644,1063.2245764653862,-37.55685,-32.447243,498.1357
1.49E-10,-5.13369E-4,-1.430773E-4,0.022836994,1063.2245764653862,-37.55685,-32.447243,498.1357
1.5E-10,-5.2396604E-4,-1.5223262E-4,0.022977548,1063.2245764653862,-37.55685,-32.447243,498.1357
1.51E-10,-5.345631E-4,-1.6138796E-4,0.023118103,1063.2245764653862,-37.55685,-32.447243,498.1357
1.52E-10,-5.4516015E-4,-1.7054328E-4,0.023258656,1063.2245764653862,-37.55685,-32.447243,498.1357
1.53E-10,-5.5575726E-4,-1.7969862E-4,0.023399211,1063.2245764653862,-37.55685,-32.447243,498.1357
1.54E-10,-5.663543E-4,-1.8885396E-4,0.023539765,1063.2245764653862,-37.55685,-32.447243,498.1357
1.55E-10,-5.7695137E-4,-1.9800928E-4,0.02368032,1063.2245764653862,-37.55685,-32.447243,498.1357
1.56E-10,-5.875484E-4,-2.0716462E-4,0.023820873,1063.2245764653862,-37.55685,-32.447243,498.1357
1.57E-10,-5.981455E-4,-2.1631994E-4,0.023961429,1063.2245764653862,-37.55685,-32.447243,498.1357
1.58E-10,-6.087425E-4,-2.2547528E-4,0.024101982,1063.2245764653862,-37.55685,-32.447243,498.1357
1.59E-10,-6.193396E-4,-2.346306E-4,0.024242537,1063.2245764653862,-37.55685,-32.447243,498.1357
1.6E-10,-6.2993664E-4,-2.4378594E-4,0.02438309,1063.2245764653862,-37.55685,-32.447243,498.1357
1.61E-10,-6.405337E-4,-2.5294127E-4,0.024523646,1063.2245764653862,-37.55685,-32.447243,498.1357
1.62E-10,-6.511308E-4,-2.620966E-4,0.024664199,1063.2245764653862,-37.55685,-32.447243,498.1357
1.63E-10,-6.6172786E-4,-2.7125192E-4,0.024804754,1063.2245764653862,-37.55685,-32.447243,498.1357
1.64E-10,-6.723249E-4,-2.8040726E-4,0.024945308,1063.2245764653862,-37.55685,-32.447243,498.1357
1.65E-10,-6.8292196E-4,-2.895626E-4,0.025085863,1063.2245764653862,-37.55685,-32.447243,498.1357
1.66E-10,-6.93519E-4,-2.9871793E-4,0.025226416,1063.2245764653862,-37.55685,-32.447243,498.1357
1.67E-10,-7.041161E-4,-3.0787324E-4,0.025366971,1063.2245764653862,-37.55685,-32.447243,498.1357
1.68E-10,-7.147131E-4,-3.1702858E-4,0.025507525,1063.2245764653862,-37.55685,-32.447243,498.1357
1.69E-10,-7.253102E-4,-3.2618392E-4,0.02564808,1063.2245764653862,-37.55685,-32.447243,498.1357
1.7E-10,-7.359073E-4,-3.3533925E-4,0.025788633,1063.2245764653862,-37.55685,-32.447243,498.1357
1.71E-10,-7.4650435E-4,-3.444946E-4,0.025929186,1063.2245764653862,-37.55685,-32.447243,498.1357
1.72E-10,-7.571014E-4,-3.536499E-4,0.026069742,1063.2245764653862,-37.55685,-32.447243,498.1357
1.73E-10,-7.6769845E-4,-3.6280524E-4,0.026210295,1063.2245764653862,-37.55685,-32.447243,498.1357
1.74E-10,-7.782955E-4,-3.7196057E-4,0.02635085,1063.2245764653862,-37.55685,-32.447243,498.1357
1.75E-10,-7.8889256E-4,-3.811159E-4,0.026491404,1063.2245764653862,-37.55685,-32.447243,498.1357
1.76E-10,-7.994896E-4,-3.9027122E-4,0.026631959,1063.2245764653862,-37.55685,-32.447243,498.1357
1.77E-10,-8.1008667E-4,-3.9942656E-4,0.026772512,1063.2245764653862,-37.55685,-32.447243,498.1357
1.78E-10,-8.206837E-4,-4.085819E-4,0.026913067,1063.2245764653862,-37.55685,-32.447243,498.1357
1.79E-10,-8.3128083E-4,-4.1773723E-4,0.02705362,1063.2245764653862,-37.55685,-32.447243,498.1357
1.8E-10,-8.418779E-4,-4.2689257E-4,0.027194176,1063.2245764653862,-37.55685,-32.447243,498.1357
1.81E-10,-8.5247494E-4,-4.3604788E-4,0.02733473,1063.2245764653862,-37.55685,-32.447243,498.1357
1.82E-10,-8.63072E-4,-4.4520322E-4,0.027475284,1063.2245764653862,-37.55685,-32.447243,498.1357
1.83E-10,-8.7366905E-4,-4.5435855E-4,0.027615838,1063.2245764653862,-37.55685,-32.447243,498.1357
1.84E-10,-8.842661E-4,-4.635139E-4,0.027756393,1063.2245764653862,-37.55685,-32.447243,498.1357
1.85E-10,-8.9486316E-4,-4.726692E-4,0.027896946,1063.2245764653862,-37.55685,-32.447243,498.1357
1.86E-10,-9.054602E-4,-4.8182454E-4,0.028037501,1063.2245764653862,-37.55685,-32.447243,498.1357
1.87E-10,-9.160573E-4,-4.909799E-4,0.028178055,1063.2245764653862,-37.55685,-32.447243,498.1357
1.88E-10,-9.266544E-4,-5.001352E-4,0.02831861,1063.2245764653862,-37.55685,-32.447243,498.1357
1.89E-10,-9.3725143E-4,-5.0929055E-4,0.028459163,1063.2245764653862,-37.55685,-32.447243,498.1357
1.9E-10,-9.478485E-4,-5.1844586E-4,0.028599719,1063.2245764653862,-37.55685,-32.447243,498.1357
1.91E-10,-9.5844554E-4,-5.276012E-4,0.028740272,1063.2245764653862,-37.55685,-32.447243,498.1357
1.92E-10,-9.690426E-4,-5.3675653E-4,0.028880825,1063.2245764653862,-37.55685,-32.447243,498.1357
1.93E-10,-9.796397E-4,-5.4591184E-4,0.02902138,1063.2245764653862,-37.55685,-32.447243,498.1357
1.94E-10,-9.902368E-4,-5.550672E-4,0.029161934,1063.2245764653862,-37.55685,-32.447243,498.1357
1.95E-10,-0.0010008338,-5.642225E-4,0.029302489,1063.2245764653862,-37.55685,-32.447243,498.1357
1.96E-10,-0.0010114309,-5.733779E-4,0.029443042,1063.2245764653862,-37.55685,-32.447243,498.1357
1.97E-10,-0.0010220279,-5.825332E-4,0.029583598,1063.2245764653862,-37.55685,-32.447243,498.1357
1.98E-10,-0.001032625,-5.916885E-4,0.02972415,1063.2245764653862,-37.55685,-32.447243,498.1357
1.99E-10,-0.001043222,-6.0084386E-4,0.029864706,1063.2245764653862,-37.55685,-32.447243,498.1357
2.0E-10,-0.0010538191,-6.099992E-4,0.03000526,1063.2245764653862,-37.55685,-32.447243,498.1357
2.01E-10,-0.0010644161,-6.191545E-4,0.030145815,1063.2245764653862,-37.55685,-32.447243,498.1357
2.02E-10,-0.0010750132,-6.2830985E-4,0.030286368,1063.2245764653862,-37.55685,-32.447243,498.1357
2.03E-10,-0.0010856102,-6.3746516E-4,0.030426923,1063.2245764653862,-37.55685,-32.447243,498.1357
2.04E-10,-0.0010962073,-6.466205E-4,0.030567477,1063.2245764653862,-37.55685,-32.447243,498.1357
2.05E-10,-0.0011068044,-6.5577583E-4,0.030708032,1063.2245764653862,-37.55685,-32.447243,498.1357
2.06E-10,-0.0011174014,-6.6493114E-4,0.030848585,1063.2245764653862,-37.55685,-32.447243,498.1357
2.07E-10,-0.0011279985,-6.740865E-4,0.03098914,1063.2245764653862,-37.55685,-32.447243,498.1357
2.08E-10,-0.0011385956,-6.832418E-4,0.031129694,1063.2245764653862,-37.55685,-32.447243,498.1357
2.09E-10,-0.0011491927,-6.923972E-4,0.031270247,1063.2245764653862,-37.55685,-32.447243,498.1357
2.1E-10,-0.0011597897,-7.015525E-4,0.031410802,1063.2245764653862,-37.55685,-32.447243,498.1357
2.11E-10,-0.0011703868,-7.107078E-4,0.031551357,1063.2245764653862,-37.55685,-32.447243,498.1357
2.12E-10,-0.0011809838,-7.1986316E-4,0.031691913,1063.2245764653862,-37.55685,-32.447243,498.1357
2.13E-10,-0.0011915809,-7.290185E-4,0.031832464,1063.2245764653862,-37.55685,-32.447243,498.1357
2.14E-10,-0.001202178,-7.3817384E-4,0.03197302,1063.2245764653862,-37.55685,-32.447243,498.1357
2.15E-10,-0.001212775,-7.4732915E-4,0.032113574,1063.2245764653862,-37.55685,-32.447243,498.1357
2.16E-10,-0.0012233721,-7.5648446E-4,0.032254126,1063.2245764653862,-37.55685,-32.447243,498.1357
2.17E-10,-0.0012339691,-7.656398E-4,0.03239468,1063.2245764653862,-37.55685,-32.447243,498.1357
2.18E-10,-0.0012445662,-7.7479513E-4,0.032535236,1063.2245764653862,-37.55685,-32.447243,498.1357
2.19E-10,-0.0012551632,-7.839505E-4,0.03267579,1063.2245764653862,-37.55685,-32.447243,498.1357
2.2E-10,-0.0012657603,-7.931058E-4,0.032816343,1063.2245764653862,-37.55685,-32.447243,498.1357
2.21E-10,-0.0012763573,-8.022611E-4,0.0329569,1063.2245764653862,-37.55685,-32.447243,498.1357
2.22E-10,-0.0012869544,-8.114165E-4,0.033097453,1063.2245764653862,-37.55685,-32.447243,498.1357
2.23E-10,-0.0012975514,-8.205718E-4,0.03323801,1063.2245764653862,-37.55685,-32.447243,498.1357
2.24E-10,-0.0013081485,-8.297271E-4,0.03337856,1063.2245764653862,-37.55685,-32.447243,498.1357
2.25E-10,-0.0013187457,-8.3888246E-4,0.033519115,1063.2245764653862,-37.55685,-32.447243,498.1357
2.26E-10,-0.0013293427,-8.480378E-4,0.03365967,1063.2245764653862,-37.55685,-32.447243,498.1357
2.27E-10,-0.0013399398,-8.5719314E-4,0.033800226,1063.2245764653862,-37.55685,-32.447243,498.1357
2.28E-10,-0.0013505368,-8.6634845E-4,0.033940777,1063.2245764653862,-37.55685,-32.447243,498.1357
2.29E-10,-0.0013611339,-8.7550376E-4,0.034081332,1063.2245764653862,-37.55685,-32.447243,498.1357
2.3E-10,-0.0013717309,-8.846591E-4,0.034221888,1063.2245764653862,-37.55685,-32.447243,498.1357
2.31E-10,-0.001382328,-8.9381443E-4,0.034362443,1063.2245764653862,-37.55685,-32.447243,498.1357
2.32E-10,-0.001392925,-9.029698E-4,0.034502994,1063.2245764653862,-37.55685,-32.447243,498.1357
2.33E-10,-0.0014035221,-9.121251E-4,0.03464355,1063.2245764653862,-37.55685,-32.447243,498.1357
2.34E-10,-0.0014141191,-9.212804E-4,0.034784105,1063.2245764653862,-37.55685,-32.447243,498.1357
2.35E-10,-0.0014247162,-9.304358E-4,0.034924656,1063.2245764653862,-37.55685,-32.447243,498.1357
2.36E-10,-0.0014353133,-9.395911E-4,0.03506521,1063.2245764653862,-37.55685,-32.447243,498.1357
2.37E-10,-0.0014459103,-9.4874646E-4,0.035205767,1063.2245764653862,-37.55685,-32.447243,498.1357
2.38E-10,-0.0014565074,-9.5790176E-4,0.03534632,1063.2245764653862,-37.55685,-32.447243,498.1357
2.39E-10,-0.0014671044,-9.670571E-4,0.035486873,1063.2245764653862,-37.55685,-32.447243,498.1357
2.4E-10,-0.0014777015,-9.7621244E-4,0.03562743,1063.2245764653862,-37.55685,-32.447243,498.1357
2.41E-10,-0.0014882985,-9.853678E-4,0.035767984,1063.2245764653862,-37.55685,-32.447243,498.1357
2.42E-10,-0.0014988957,-9.94523E-4,0.03590854,1063.2245764653862,-37.55685,-32.447243,498.1357
2.43E-10,-0.0015094928,-0.0010036784,0.03604909,1063.2245764653862,-37.55685,-32.447243,498.1357
